[1, 2, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 30, 31, 34, 35, 37, 38, 41, 43, 45, 46, 49, 50]	73.32
[1, 2, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 30, 31, 34, 35, 37, 38, 41, 43, 45, 46, 49, 50]	73.68
[1, 2, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 31, 34, 35, 37, 38, 41, 43, 45, 46, 49, 50]	73.94
[1, 2, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 31, 34, 35, 37, 38, 43, 45, 46, 49, 50]	74.08
[1, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 31, 34, 35, 37, 38, 43, 45, 46, 49, 50]	74.5
[1, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 31, 34, 35, 37, 38, 43, 46, 49, 50]	74.44
[1, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 31, 34, 35, 37, 38, 43, 46, 49]	74.44
[1, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 31, 35, 37, 38, 43, 46, 49]	74.26
[1, 3, 4, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 35, 37, 38, 43, 46, 49]	74.26
[1, 3, 5, 10, 11, 13, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 35, 37, 38, 43, 46, 49]	74.48
[1, 3, 5, 10, 11, 13, 15, 16, 18, 19, 20, 21, 23, 25, 26, 35, 37, 38, 43, 46, 49]	74.4
[1, 3, 5, 10, 11, 13, 15, 16, 18, 19, 20, 21, 23, 25, 26, 35, 37, 43, 46, 49]	74.8
[1, 3, 5, 10, 11, 13, 15, 16, 18, 19, 20, 21, 23, 26, 35, 37, 43, 46, 49]	74.68
[1, 3, 5, 10, 11, 13, 15, 16, 18, 19, 20, 23, 26, 35, 37, 43, 46, 49]	75.12
[1, 3, 5, 11, 13, 15, 16, 18, 19, 20, 23, 26, 35, 37, 43, 46, 49]	75.48
[1, 3, 5, 11, 13, 15, 16, 18, 19, 20, 23, 26, 37, 43, 46, 49]	75.6
[1, 3, 5, 11, 13, 15, 16, 19, 20, 23, 26, 37, 43, 46, 49]	76.26
[1, 3, 5, 11, 13, 15, 16, 20, 23, 26, 37, 43, 46, 49]	76.14
[1, 5, 11, 13, 15, 16, 20, 23, 26, 37, 43, 46, 49]	76.42
[1, 5, 11, 15, 16, 20, 23, 26, 37, 43, 46, 49]	76.46
[1, 5, 11, 15, 16, 20, 23, 26, 43, 46, 49]	76.48
[1, 5, 11, 15, 16, 20, 23, 26, 43, 49]	77.06
[1, 5, 11, 15, 16, 23, 26, 43, 49]	77.58
[1, 5, 11, 16, 23, 26, 43, 49]	78.16
[1, 5, 11, 16, 23, 26, 43]	79.4
[1, 11, 16, 23, 26, 43]	80.44
[1, 11, 16, 23, 26]	81.12
[1, 11, 23, 26]	82.98
[1, 11, 26]	83.42
[1, 11]	84.06
[1]	84.26
